page,lang,kind,title,h1,internal_links,missing_targets
404.html,en,clinic,Page Not Found | Canby Clinic,Page Not Found,63,
patient-journey.html,en,patient,Patient Journey | Canby Clinic,Patient Journey,63,
patient-portal.html,en,portal,Secure Patient Portal | Canby Community Clinic,Your portal. Your next step.,57,
patient-resources.html,en,patient,Patient Resources | Canby Clinic,Patient Resources,75,
prediabetes-window-before-disease.html,en,clinical-resource,Prediabetes: A Window Before Disease | Canby Clinic,Prediabetes: A Window Before Disease,58,
preventive-care-before-symptoms.html,en,clinical-resource,Preventive Care Before Symptoms | Canby Clinic,Preventive Care Before Symptoms,58,
preventive-care-guide.html,en,clinical-resource,Preventive Care Guide | Canby Clinic,Preventive Care Guide,58,
preventive-screenings.html,en,clinical-resource,Preventive Screenings | Canby Clinic,Preventive Screenings,63,
primary-care-community-infrastructure.html,en,clinical-resource,Primary Care as Community Infrastructure | Canby Clinic,Primary Care as Community Infrastructure,58,
primary-care.html,en,clinical-resource,Primary Care Support | Canby Clinic,Primary Care Support,63,
privacy.html,en,policy,Privacy | Canby Clinic,Privacy,63,
reseda-health-access.html,en,clinical-resource,Health Access in Reseda | Canby Clinic,Health Access in Reseda,58,
services.html,en,clinic,Services | Canby Clinic,Services,69,
terms.html,en,policy,Terms | Canby Clinic,Terms,63,
testing-referral-support.html,en,clinical-resource,Testing & Referral Support | Canby Clinic,Testing & Referral Support,63,
visit-planner.html,en,patient,Visit Planner | Canby Clinic,Visit Planner,56,
volunteer.html,en,clinic,Volunteer | Canby Clinic,Volunteer,58,
